0,1,63.89601135,..,..,..,..,10,97.75261688,..,..,..,..,..,..,..,..,..,..,1.652220011
1,2,97.36457062,101.3911896,..,..,..,10,95.3928299,..,..,..,..,..,..,..,..,..,..,4.765880108
2,3,99.19589996,77.23351288,23.80201912,82.44120026,97.43153381,8,..,..,..,..,..,..,..,..,22.43949,34.6242,15.35867,4.056509972
3,4,108.6008377,82.30407715,24.21640015,91.63027191,97.63584137,11,96.90300751,..,..,70.89231873,12.10781956,25.87863922,..,..,39.0791,30.26007,17.45499,4.845689774
4,5,73.93554688,25.83254051,..,..,..,9,..,..,..,..,..,..,..,..,..,..,..,3.52218008
5,6,71.61457062,15.64002037,1.420699954,..,..,6,..,..,..,..,..,..,..,..,45.78488,35.48479,18.73033,1.694769979
6,7,101.9233398,73.63115692,44.57695007,93.50646973,98.05090332,9,..,..,..,..,..,..,..,..,..,..,21.68546,3.93859005
7,8,106.4425201,95.59757233,70.30892181,..,..,11,..,..,..,..,..,..,..,..,..,..,29.47957,6.06441021
8,9,101.8740234,95.0524826,80.63482666,..,..,12,..,..,..,98.42295837,36.22993851,85.19178009,..,..,..,..,..,..
9,10,63.46092987,..,1.142019987,..,..,10,..,..,..,..,..,..,..,..,52.45674,23.71611,22.81854,1.415060043
10,11,98.88063049,101.7282486,..,..,..,10,93.77896881,..,55.98192978,..,43.86326981,79.40338898,..,..,..,..,..,..
11,12,99.76322174,78.49475098,26.53152084,82.33132172,96.64370728,8,..,..,16.76836967,..,16.17399025,43.35366058,..,..,28.393,46.84861,20.59545,4.289989948
12,13,108.1747665,84.08560181,24.79043007,91.73451996,97.8956604,11,96.76209259,..,..,70.75415802,14.91232967,30.26074982,..,..,38.82099,29.79115,17.19888,4.699920177
13,14,76.76000977,27.7074604,..,26.17654991,38.81612015,9,..,..,1.913830042,..,..,5.490859985,..,..,..,..,..,..
14,15,70.92913818,16.06049919,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..
15,16,101.8130722,74.1841507,44.85783005,..,..,9,..,..,12.86896992,51.35322189,12.86896992,22.56995964,..,..,..,..,23.7406,4.05038023
16,17,100.0811462,96.84503937,75.3947525,..,..,11,..,..,..,..,..,..,..,..,..,..,30.49106,6.214799881
17,18,..,..,..,..,..,12,..,..,..,98.54376984,37.36785126,85.72322845,..,..,..,..,..,..
18,19,72.96401978,..,..,..,..,10,99.04538727,..,..,..,..,..,..,..,47.96444,29.05007,21.28217,1.313320041
19,20,98.96647644,101.9034882,63.60005951,..,..,10,93.57315063,..,..,..,..,..,..,..,..,..,36.81221,4.766409874
20,21,100.3732605,78.09741211,31.21858025,..,..,8,..,..,..,..,..,..,..,..,28.67484,48.16099,20.37027,4.596809864
21,22,108.7997131,84.90705109,25.42106056,92.79517365,98.15608978,11,96.87026978,..,..,71.84829712,14.44717979,30.20545959,..,..,38.24865,29.49101,18.47466,4.690509796
22,23,79.28751373,30.30554008,..,..,..,9,..,..,..,..,..,..,..,..,..,..,..,..
23,24,69.78533173,18.50139999,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..
24,25,101.3794937,79.34353638,49.03480148,..,..,9,..,..,..,..,..,..,..,..,..,..,..,3.603149891
25,26,98.02895355,96.75440979,78.89259338,..,..,11,..,..,..,..,..,..,..,..,..,..,30.07421,6.157209873
26,27,..,..,..,..,..,12,..,..,..,..,..,..,..,..,..,..,..,..
27,28,83.78250122,..,2.342910051,..,..,10,97.72807312,..,..,..,..,..,..,..,..,25.91333,17.48191,1.290009975
28,29,98.01331329,102.3444366,63.76739883,..,..,10,92.44956207,..,..,..,..,..,..,..,..,..,34.44431,4.62612009
