1,40.692,,,18.5,1200,,2000,25553,,,,,26.6,14.2,,,40.9,42.1
2,10.6,0.4640432,,7.1,11,,39,2088,,9.9467,3.1,,52.8,64.4,,,23.9,28.6
3,17.401,0.11898085,,5.041,34,,410,31528,0.8869,1.4051,1.72,,58.8,48.4,,,36.7,31.4
4,21.741,0.12093282,,4.792,54,,1200,53034,3.5303,2.2053,1.05,,60.8,56.7,,,34,35.8
5,48.444,,,15.112,691,,4300,91774,,,0.3,,26.7,14.7,,,37.9,32.5
6,49.325,,,16.636,1330,,6600,78507,,,0.4,,23.1,12.6,,,40.7,37.9
7,12.87,0.1457645,,7.123,43,,360,14588,,,2.1,,26,18.2,,,25.1,27.5
8,9,0.07809397,,16.6,33,,140,6191,3.0181,6.6407,8.68,,53.3,54.6,,,47.5,51.6
9,14,0.65363973,,8.3,13,,560,32674,,9.9177,3.2,,57,67,,,30,33.3
10,40.427,,,18.137,1170,,1900,25511,,,1.2,,27.1,14.5,,,41.2,42.1
11,10.9,0.48383656,,7,11,,40,2108,1.9086,10.0236,3.02,,53.4,65,,,23.6,28.2
12,17.52,0.14640558,,5.039,32,,400,29998,0.5361,1.689,1.72,,59.5,49.2,,,36.4,31.2
13,21.343,0.11649629,,4.869,51,,1200,50831,3.762,2.2215,1.02,,61.3,57.3,,,34.1,35.9
14,48.191,,,14.492,675,,4300,91104,,,,,27.4,15.1,,,38.1,32.5
15,48.848,,,16.295,1340,,6900,79003,0.0352,0.1808,,,23.7,12.9,,,41,38
16,12.632,0.16260447,,7.141,42,,350,13723,0.2875,1.5448,,,26.8,19.1,,,25.5,27.7
17,9.8,0.00165373,,16.2,31,,140,6149,3.0838,6.6503,8.73,,53.5,55.2,,,47.3,51.5
18,14.3,0.66477114,,8.1,14,,570,32448,,,3.18,,57.6,67.6,,,30,33.5
19,40.111,,,17.727,1130,,1900,25379,,,,,27.7,14.8,,,41.5,42.2
20,11.2,0.61307919,,7.1,11,,41,2126,,10.1208,2.96,,53.9,65.5,21.6,34.7,23.3,27.9
21,17.663,0.14948277,,5.025,30,,380,28626,,,1.72,,60.1,50.1,5.4,30.7,36.1,31
22,20.973,0.09540497,,4.961,49,,1100,48819,3.843,2.2832,1.06,,61.8,58,9.8,29,34.2,36
23,47.853,,,13.916,663,,4300,90290,0.0776,0.2111,,,28.2,15.6,2.6,22.4,38.3,32.6
24,48.327,,,15.909,1300,,6800,79304,,,,,24.2,13.2,4.7,22.6,41.1,38
25,12.407,0.1549878,,7.154,42,,350,12927,0.2959,1.5283,,,27.7,19.9,4.5,51.6,25.8,27.9
26,10.2,0.49199405,,16.4,33,,150,6106,3.0885,6.6468,8.72,,53.7,55.8,13,52.8,47,51.2
27,14.3,0.717116,,8,14,,570,32061,,,3.14,,58.2,68.1,23,35.3,30.1,33.6
28,39.749,,,17.283,1090,,1800,25145,0.0405,0.1954,,,28.3,15.2,,,41.7,42.2
