67,Seleka rebel leaders declare Republic of Logone,geopolitical,2015-12-01,2015-12-31,CAF,2015.0
68,N'Djamena bombings,geopolitical,2015-06-15,2015-07-11,TCD,2015.0
69,Same-sex marriage legalization,geopolitical,2015-06-01,2015-06-30,USA,2015.0
70,Touadera sworn into office,geopolitical,2016-03-01,2016-03-31,CAF,2016.0
71,Fort McMurray Wildfire,environmental,2016-05-01,2016-06-14,CAN,2016.0
72,2016 Chadian presidential election,geopolitical,2016-04-10,2016-04-10,TCD,2016.0
73,Maha Vajiralongkorn reign,geopolitical,2016-12-01,,THA,2016.0
74,Tehran attacks,geopolitical,2017-06-07,2017-06-07,IRN,2017.0
75,Chiapas earthquake,environmental,2017-09-07,2017-09-07,MEX,2017.0
76,Puebla earthquake,environmental,2017-09-19,2017-09-19,MEX,2017.0
77,Gao bombing,geopolitical,2017-01-18,2017-01-18,MLI,2017.0
78,Donald Trump presidency,geopolitical,2017-01-01,2021-01-31,USA,2017.0
79,Eastern Canada heat wave,environmental,2018-07-01,2018-07-01,CAN,2018.0
80,The Cannabis act legalizes marijuana,geopolitical,2018-10-17,,CAN,2018.0
81,2018 Malian presidential election,geopolitical,2018-07-29,2018-07-29,MLI,2018.0
82,Widespread floods,environmental,2019-08-01,2019-08-31,CAF,2019.0
83,2019 Ukrainian parliamentary election,geopolitical,2019-07-21,2019-07-21,UKR,2019.0
84,2019 Ukrainian presidential election,geopolitical,2019-03-31,2019-04-21,UKR,2019.0
85,Pipeline and railway protests,geopolitical,2020-01-07,2020-03-31,CAN,2020.0
86,Start of COVID19 Pandemic,environmental,2020-01-15,,CAN,2020.0
87,2020 Malian parliamentary election,geopolitical,2020-03-29,2020-03-29,MLI,2020.0
88,Operation Boma's Wrath,geopolitical,2020-03-31,2020-04-09,TCD,2020.0
89,African sahel floods,environmental,2020-08-01,2020-09-30,TCD,2020.0
90,2020 Ukrainian local elections,geopolitical,2020-10-25,2020-10-25,UKR,2020.0
