1,1,1,1,1,1,1,0.336,0.276,0.362
1,1,1,1,1,1,2,0.336,0.276,0.362
1,2,2,2,2,2,3,0.894,0.847,0.91
1,3,3,3,3,3,4,0.683,0.552,0.723
1,3,3,3,3,3,5,0.683,0.552,0.723
1,4,4,4,4,4,5,0.737,0.604,0.78
1,5,5,5,5,5,5,0.367,0.226,0.445
1,6,6,6,6,6,6,0.327,0.202,0.395
1,6,6,6,6,6,7,0.327,0.202,0.395
1,7,7,7,7,7,7,0.696,0.585,0.72
1,8,8,8,8,8,7,0.738,0.776,0.708
1,9,9,9,9,9,8,0.9,0.862,0.953
2,10,10,10,10,10,8,0.342,0.282,0.366
2,11,11,11,11,11,8,0.898,0.85,0.915
2,12,12,12,12,12,8,0.719,0.633,0.729
2,13,13,13,13,13,9,0.745,0.62,0.785
2,13,13,13,13,13,10,0.745,0.62,0.785
2,14,14,14,14,14,10,0.376,0.237,0.446
2,15,15,15,15,15,11,0.33,0.212,0.38
2,16,16,16,16,16,12,0.697,0.576,0.728
2,16,16,16,16,16,13,0.697,0.576,0.728
2,17,17,17,17,17,14,0.744,0.781,0.719
2,18,18,18,18,18,14,0.903,0.865,0.956
3,19,19,19,19,19,14,0.347,0.288,0.369
3,20,20,20,20,20,14,0.896,0.833,0.924
3,21,21,21,21,21,14,0.723,0.631,0.739
3,22,22,22,22,22,15,0.746,0.621,0.786
3,23,23,23,23,23,16,0.371,0.222,0.446
3,23,23,23,23,23,17,0.371,0.222,0.446
3,24,24,24,24,24,17,0.34,0.222,0.393
3,25,25,25,25,25,17,0.714,0.607,0.736
3,26,26,26,26,26,18,0.751,0.784,0.732
3,27,27,27,27,27,19,0.906,0.869,0.958
4,28,28,28,28,28,19,0.352,0.294,0.369
4,29,29,29,29,29,20,0.898,0.836,0.924
4,29,29,29,29,29,21,0.898,0.836,0.924
4,30,30,30,30,30,22,0.728,0.64,0.738
4,31,31,31,31,31,22,0.748,0.627,0.786
4,32,32,32,32,32,22,0.394,0.26,0.449
4,33,33,33,33,33,23,0.346,0.232,0.388
4,34,34,34,34,34,24,0.718,0.611,0.737
4,35,35,35,35,35,24,0.755,0.786,0.736
4,36,36,36,36,36,24,0.911,0.882,0.957
5,37,37,37,37,37,24,0.356,0.296,0.371
5,38,38,38,38,38,24,0.898,0.838,0.918
5,39,39,39,39,39,25,0.734,0.651,0.738
5,40,40,40,40,40,26,0.748,0.637,0.775
5,41,41,41,41,41,26,0.401,0.27,0.449
5,42,42,42,42,42,26,0.361,0.246,0.41
5,43,43,43,43,43,26,0.722,0.618,0.735
